Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_PctRural, se_PctRural, t_PctRural, est_PctPov, se_PctPov, t_PctPov, est_PctBlack, se_PctBlack, t_PctBlack, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 13001, 941396.6, 3521764,        18.375924,         2.414905,         7.609379,        -0.087919,         0.021113,        -4.164093,        -0.218522,         0.115485,        -1.892203,         0.069101,         0.048422,         1.427054,         8.200000,         8.815245,        -0.615245,        -0.162278,         0.551117,         0.041718,         0.000077
    1, 13003, 895553, 3471916,        18.039692,         2.693495,         6.697503,        -0.077996,         0.022571,        -3.455642,        -0.291285,         0.126975,        -2.294038,         0.109652,         0.053382,         2.054089,         6.400000,         5.611921,         0.788079,         0.213714,         0.557455,         0.093454,         0.000315
    2, 13005, 930946.4, 3502787,        18.173904,         2.525672,         7.195672,        -0.085464,         0.021449,        -3.984466,        -0.235007,         0.118227,        -1.987757,         0.081621,         0.050307,         1.622470,         6.600000,         8.495724,        -1.895724,        -0.518796,         0.553851,         0.109830,         0.002225
    3, 13007, 745398.6, 3474765,        18.612431,         2.254469,         8.255795,        -0.072676,         0.020748,        -3.502894,        -0.325567,         0.109910,        -2.962119,         0.107978,         0.052233,         2.067223,         9.400000,         8.849965,         0.550035,         0.151238,         0.571077,         0.118198,         0.000205
    4, 13009, 849431.3, 3665553,        25.027931,         1.767947,        14.156497,        -0.128431,         0.019962,        -6.433839,        -0.188146,         0.106755,        -1.762416,        -0.028756,         0.050361,        -0.571001,        13.300000,        15.032420,        -1.732420,        -0.470868,         0.559486,         0.097548,         0.001606
    5, 13011, 819317.3, 3807616,        28.868732,         1.568279,        18.407904,        -0.180965,         0.020098,        -9.004150,        -0.137907,         0.130001,        -1.060813,        -0.031319,         0.041694,        -0.751165,         6.400000,         8.580509,        -2.180509,        -0.580528,         0.551175,         0.059443,         0.001427
    6, 13013, 803747.1, 3769623,        29.126594,         1.578247,        18.455024,        -0.185670,         0.019899,        -9.330583,        -0.119547,         0.128153,        -0.932843,        -0.039784,         0.041354,        -0.962027,         9.200000,        14.919817,        -5.719817,        -1.508125,         0.558752,         0.041031,         0.006520
    7, 13015, 699011.5, 3793408,        26.738740,         1.663068,        16.077957,        -0.143921,         0.019787,        -7.273569,        -0.379195,         0.129687,        -2.923921,         0.074043,         0.041423,         1.787476,         9.000000,        12.540446,        -3.540446,        -0.929355,         0.571809,         0.032462,         0.001942
    8, 13017, 863020.8, 3520432,        17.332852,         2.862878,         6.054346,        -0.072048,         0.022398,        -3.216792,        -0.259626,         0.122903,        -2.112442,         0.093798,         0.048378,         1.938852,         7.600000,        11.173490,        -3.573490,        -0.950910,         0.513439,         0.058498,         0.003764
    9, 13019, 859915.8, 3466377,        18.009999,         2.499664,         7.204967,        -0.074505,         0.021286,        -3.500257,        -0.310736,         0.120344,        -2.582057,         0.116161,         0.049213,         2.360389,         7.500000,         8.430319,        -0.930319,        -0.253303,         0.550571,         0.100714,         0.000481
   10, 13021, 809736.9, 3636468,        23.331917,         1.754697,        13.296838,        -0.117008,         0.019905,        -5.878384,        -0.244202,         0.105854,        -2.306955,         0.017538,         0.051088,         0.343293,        17.000000,        17.490415,        -0.490415,        -0.139052,         0.578390,         0.170747,         0.000267
   11, 13023, 844270.1, 3595691,        18.575691,         2.534320,         7.329656,        -0.087278,         0.023528,        -3.709493,        -0.206076,         0.108188,        -1.904795,         0.051458,         0.050376,         1.021487,        10.300000,        10.901700,        -0.601700,        -0.162155,         0.545373,         0.082058,         0.000157
   12, 13025, 979288.9, 3463849,        18.853338,         2.745800,         6.866246,        -0.091904,         0.023206,        -3.960341,        -0.248679,         0.131652,        -1.888905,         0.086563,         0.057140,         1.514925,         5.800000,         5.533408,         0.266592,         0.076204,         0.604611,         0.184081,         0.000088
   13, 13027, 827822, 3421638,        18.212539,         2.372760,         7.675677,        -0.073817,         0.021056,        -3.505663,        -0.334842,         0.119039,        -2.812877,         0.126093,         0.049579,         2.543305,         9.100000,         9.926865,        -0.826865,        -0.217609,         0.563673,         0.037431,         0.000123
   14, 13029, 1023145, 3554982,        20.021869,         2.358372,         8.489700,        -0.099557,         0.022023,        -4.520597,        -0.215786,         0.120983,        -1.783596,         0.045851,         0.047733,         0.960576,        11.800000,         9.830106,         1.969894,         0.545752,         0.606627,         0.131419,         0.003019
   15, 13031, 994903.4, 3600493,        20.563701,         2.266851,         9.071485,        -0.098698,         0.021867,        -4.513625,        -0.210540,         0.118868,        -1.771213,         0.026472,         0.045694,         0.579333,        19.900000,         9.223105,        10.676895,         2.926313,         0.579241,         0.112510,         0.072736
