Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         0.068761,         0.372173,         0.184755,        -0.745137,         0.884757,        -0.842193,        -0.275728,         0.257728,        -1.069842,         1.819297,         1.123721,         1.618994,        -0.006335,         0.064010,        -0.098964,       189.000000,       190.498212,         0.348549,         0.570346
    1, 1, 334095.21, 25283.2,         0.078901,         0.279149,         0.282647,        -1.301807,         0.769819,        -1.691056,        -0.092139,         0.209333,        -0.440152,         1.516224,         0.868262,         1.746274,        -0.027553,         0.047040,        -0.585738,        95.000000,        92.990242,         0.316922,         0.321655
    2, 2, 378200.19, -877.05,         0.148710,         0.220977,         0.672966,        -1.895099,         0.561458,        -3.375314,        -0.285189,         0.132196,        -2.157318,         2.303988,         0.691307,         3.332802,        -0.005959,         0.039990,        -0.149008,        70.000000,        81.746234,         0.548588,         0.175925
    3, 3, 357191.03, 29064.39,         0.287709,         0.360345,         0.798427,        -0.805463,         0.844472,        -0.953806,        -0.136051,         0.286250,        -0.475289,         0.641460,         1.011867,         0.633937,        -0.072610,         0.047349,        -1.533512,        48.000000,        56.752685,         0.181265,         0.194372
    4, 4, 358056.34, 10824.73,         0.236015,         0.176597,         1.336463,        -1.818305,         0.447162,        -4.066322,        -0.328796,         0.113926,        -2.886038,         2.005052,         0.505607,         3.965634,        -0.011771,         0.031083,        -0.378705,        65.000000,        74.953554,         0.489029,         0.160754
    5, 5, 366747.61, -3073.12,         0.253854,         0.161154,         1.575225,        -2.601217,         0.414901,        -6.269486,        -0.325568,         0.101653,        -3.202750,         2.096379,         0.371892,         5.637072,         0.006649,         0.028206,         0.235748,       107.000000,       105.803244,         0.694939,         0.040915
    6, 6, 351099.27, 11800.35,         0.277631,         0.173081,         1.604055,        -1.994016,         0.423323,        -4.710394,        -0.342069,         0.110338,        -3.100207,         1.961070,         0.464698,         4.220097,        -0.015806,         0.030678,        -0.515231,        65.000000,        72.510181,         0.492525,         0.150028
    7, 7, 377929.98, 4635.1,         0.089249,         0.241451,         0.369635,        -1.238511,         0.599194,        -2.066960,        -0.231993,         0.152570,        -1.520569,         2.108723,         0.795707,         2.650124,        -0.019669,         0.047023,        -0.418281,        76.000000,        77.421852,         0.468034,         0.100519
    8, 8, 367529.91, 20192.51,         0.206559,         0.282753,         0.730528,        -0.920588,         0.699198,        -1.316634,        -0.211243,         0.230700,        -0.915660,         1.234527,         0.912052,         1.353570,        -0.045314,         0.049825,        -0.909474,       192.000000,       180.367057,         0.293134,         0.844000
    9, 9, 389231.47, 3489.35,         0.097410,         0.352248,         0.276539,        -1.452075,         0.819836,        -1.771177,        -0.364515,         0.204881,        -1.779151,         2.538326,         1.052420,         2.411894,         0.007880,         0.065883,         0.119602,        27.000000,        25.835270,         0.557930,         0.080573
   10, 10, 389427.64, 9290.1,         0.047098,         0.376441,         0.125114,        -1.106335,         0.871207,        -1.269887,        -0.407391,         0.231970,        -1.756223,         2.522208,         1.165373,         2.164293,         0.027969,         0.071204,         0.392795,        28.000000,        25.656966,         0.515899,         0.125112
