Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         0.159240,         0.214401,         0.742720,        -1.245493,         0.541716,        -2.299162,        -0.287294,         0.143256,        -2.005457,         1.921656,         0.728627,         2.637365,        -0.020597,         0.040825,        -0.504520,       189.000000,       188.642160,         0.391996,         0.260250
    1, 1, 334095.21, 25283.2,         0.073332,         0.299576,         0.244788,        -1.303161,         0.853044,        -1.527660,        -0.075449,         0.226696,        -0.332822,         1.479983,         0.897644,         1.648742,        -0.028673,         0.048540,        -0.590698,        95.000000,        92.772384,         0.334389,         0.335754
    2, 2, 378200.19, -877.05,         0.166187,         0.199485,         0.833080,        -2.098565,         0.513231,        -4.088932,        -0.321987,         0.120370,        -2.674976,         2.389784,         0.583917,         4.092675,         0.004057,         0.035093,         0.115615,        70.000000,        81.390773,         0.599134,         0.145437
    3, 3, 357191.03, 29064.39,         0.246507,         0.277478,         0.888383,        -0.899756,         0.680813,        -1.321592,        -0.158314,         0.222397,        -0.711852,         0.967663,         0.870925,         1.111075,        -0.062381,         0.043984,        -1.418260,        48.000000,        56.697504,         0.221689,         0.161294
    4, 4, 358056.34, 10824.73,         0.207621,         0.195716,         1.060828,        -1.579660,         0.480304,        -3.288874,        -0.311060,         0.129910,        -2.394435,         2.008195,         0.640780,         3.133984,        -0.014566,         0.034445,        -0.422878,        65.000000,        74.869949,         0.415089,         0.197685
    5, 5, 366747.61, -3073.12,         0.216154,         0.183815,         1.175936,        -2.543026,         0.482057,        -5.275361,        -0.293831,         0.114762,        -2.560340,         2.138782,         0.478645,         4.468411,         0.009642,         0.032783,         0.294118,       107.000000,       105.953054,         0.672393,         0.049033
    6, 6, 351099.27, 11800.35,         0.260850,         0.191907,         1.359255,        -1.757670,         0.459099,        -3.828521,        -0.326468,         0.125434,        -2.602715,         1.975811,         0.615688,         3.209108,        -0.022006,         0.033998,        -0.647277,        65.000000,        72.765738,         0.415629,         0.175075
    7, 7, 377929.98, 4635.1,         0.135698,         0.203228,         0.667713,        -1.711154,         0.514518,        -3.325741,        -0.317385,         0.124112,        -2.557245,         2.351695,         0.617170,         3.810451,        -0.000080,         0.035880,        -0.002235,        76.000000,        76.383264,         0.534044,         0.076585
    8, 8, 367529.91, 20192.51,         0.218468,         0.214614,         1.017959,        -1.173604,         0.546890,        -2.145961,        -0.256693,         0.160783,        -1.596516,         1.486733,         0.754133,         1.971445,        -0.035331,         0.040763,        -0.866745,       192.000000,       176.326130,         0.309195,         0.774262
    9, 9, 389231.47, 3489.35,         0.059209,         0.223532,         0.264880,        -1.612733,         0.578650,        -2.787062,        -0.290847,         0.132835,        -2.189533,         2.558968,         0.687769,         3.720680,         0.008126,         0.040168,         0.202287,        27.000000,        26.193103,         0.530351,         0.054440
