Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         0.129753,         0.263322,         0.492755,        -0.933419,         0.623399,        -1.497305,        -0.324053,         0.165317,        -1.960186,         1.784478,         0.829574,         2.151078,        -0.007387,         0.050181,        -0.147198,       189.000000,       190.755403,         0.383087,         0.377774
    1, 1, 334095.21, 25283.2,         0.208090,         0.239749,         0.867950,        -1.882577,         0.547325,        -3.439594,        -0.279637,         0.145421,        -1.922951,         1.930791,         0.608382,         3.173648,        -0.016224,         0.041116,        -0.394581,        95.000000,        95.419038,         0.386279,         0.253331
    2, 2, 378200.19, -877.05,         0.152876,         0.193043,         0.791925,        -2.169021,         0.478741,        -4.530674,        -0.302097,         0.120438,        -2.508309,         2.257559,         0.480595,         4.697421,         0.012594,         0.034526,         0.364776,        70.000000,        80.901665,         0.631176,         0.180555
    3, 3, 357191.03, 29064.39,         0.343510,         0.251511,         1.365786,        -1.184002,         0.603013,        -1.963479,        -0.280694,         0.158317,        -1.772982,         1.183605,         0.754820,         1.568062,        -0.061285,         0.040818,        -1.501438,        48.000000,        57.500002,         0.270278,         0.187323
    4, 4, 358056.34, 10824.73,         0.220000,         0.158315,         1.389628,        -1.830456,         0.393851,        -4.647587,        -0.316553,         0.103664,        -3.053660,         1.986751,         0.410565,         4.839072,        -0.008253,         0.028422,        -0.290364,        65.000000,        74.747093,         0.516383,         0.160559
    5, 5, 366747.61, -3073.12,         0.208668,         0.142068,         1.468786,        -2.548211,         0.351129,        -7.257184,        -0.294513,         0.095588,        -3.081076,         2.055626,         0.335750,         6.122487,         0.015367,         0.024586,         0.625025,       107.000000,       105.949650,         0.690097,         0.042478
    6, 6, 351099.27, 11800.35,         0.246232,         0.152844,         1.611001,        -2.015123,         0.361021,        -5.581735,        -0.321463,         0.100213,        -3.207781,         1.950986,         0.393695,         4.955573,        -0.008329,         0.027424,        -0.303708,        65.000000,        72.145222,         0.506886,         0.150882
    7, 7, 377929.98, 4635.1,         0.098708,         0.206951,         0.476963,        -1.623344,         0.512067,        -3.170179,        -0.302423,         0.128986,        -2.344613,         2.276245,         0.545961,         4.169243,         0.009783,         0.036849,         0.265497,        76.000000,        76.677993,         0.571719,         0.099499
    8, 8, 367529.91, 20192.51,         0.261277,         0.222212,         1.175799,        -1.182444,         0.548064,        -2.157491,        -0.329813,         0.141120,        -2.337105,         1.582841,         0.645724,         2.451265,        -0.034588,         0.039426,        -0.877275,       192.000000,       179.708855,         0.348410,         0.827407
    9, 9, 389231.47, 3489.35,         0.056970,         0.278349,         0.204671,        -1.634726,         0.666651,        -2.452149,        -0.335912,         0.158587,        -2.118151,         2.581501,         0.797882,         3.235441,         0.022614,         0.049642,         0.455538,        27.000000,        25.998754,         0.595582,         0.082585
   10, 10, 389427.64, 9290.1,         0.005202,         0.299621,         0.017362,        -1.160289,         0.705989,        -1.643496,        -0.342630,         0.175105,        -1.956712,         2.534424,         0.917874,         2.761188,         0.026262,         0.056077,         0.468316,        28.000000,        25.398991,         0.535974,         0.091842
   11, 11, 381089.82, 9125.81,         0.051432,         0.242303,         0.212262,        -1.198414,         0.587512,        -2.039813,        -0.307089,         0.146294,        -2.099120,         2.277038,         0.701217,         3.247265,         0.010404,         0.044067,         0.236089,        63.000000,        59.388223,         0.513328,         0.051647
   12, 12, 371082.66, 6843.9,         0.140625,         0.180974,         0.777044,        -1.650235,         0.455219,        -3.625144,        -0.305318,         0.118597,        -2.574407,         2.136735,         0.463188,         4.613105,         0.002881,         0.032093,         0.089771,        34.000000,        31.033373,         0.555554,         0.066234
   13, 13, 388281.84, -1760.78,         0.131279,         0.257440,         0.509940,        -2.201186,         0.636112,        -3.460373,        -0.326316,         0.146313,        -2.230266,         2.472489,         0.691306,         3.576547,         0.019259,         0.044945,         0.428508,        17.000000,        19.309147,         0.633154,         0.092526
   14, 14, 386771.66, -4857.11,         0.178828,         0.240137,         0.744694,        -2.554696,         0.607153,        -4.207664,        -0.318655,         0.137890,        -2.310931,         2.366763,         0.621716,         3.806822,         0.017799,         0.042049,         0.423304,        25.000000,        23.669961,         0.651237,         0.125501
   15, 15, 397029.93, 4912.15,         0.041420,         0.328789,         0.125977,        -1.714103,         0.795243,        -2.155445,        -0.399500,         0.190806,        -2.093753,         2.805942,         1.005004,         2.791971,         0.042491,         0.060170,         0.706188,        17.000000,        16.695064,         0.606097,         0.148358
   16, 16, 399583.28, 1217.51,         0.089233,         0.329815,         0.270555,        -2.197882,         0.852805,        -2.577239,        -0.410754,         0.191068,        -2.149782,         2.787985,         1.001791,         2.782999,         0.048690,         0.058492,         0.832433,        31.000000,        28.401707,         0.631205,         0.185644
   17, 17, 389413.79, 18915.59,         0.058968,         0.342635,         0.172101,        -0.828058,         0.799682,        -1.035484,        -0.374244,         0.218491,        -1.712858,         2.003236,         1.110405,         1.804059,         0.020446,         0.067436,         0.303200,        27.000000,        32.557228,         0.391063,         0.331745
   18, 18, 374811.31, 23395.2,         0.306432,         0.277254,         1.105241,        -1.050805,         0.641156,        -1.638923,        -0.353923,         0.179992,        -1.966332,         1.174561,         0.873828,         1.344156,        -0.037886,         0.051749,        -0.732110,        10.000000,        16.152433,         0.283469,         0.113572
   19, 19, 366291.01, 3851.09,         0.179191,         0.157335,         1.138916,        -2.041228,         0.391476,        -5.214188,        -0.300295,         0.104838,        -2.864372,         2.070289,         0.384955,         5.377999,         0.006921,         0.027732,         0.249573,        42.000000,        39.765050,         0.610456,         0.083389
   20, 20, 362053.67, 7027.25,         0.195848,         0.155583,         1.258798,        -1.939685,         0.386536,        -5.018121,        -0.306664,         0.103255,        -2.969980,         2.022795,         0.391592,         5.165566,         0.000813,         0.027625,         0.029419,        20.000000,        20.299008,         0.572094,         0.057758
