Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         0.100204,         0.081960,         1.222586,        -2.262845,         0.199982,       -11.315255,        -0.279785,         0.058658,        -4.769767,         2.123446,         0.235957,         8.999285,         0.036929,         0.013867,         2.663137,       189.000000,       189.232852,         0.584616,         0.022425
    1, 1, 334095.21, 25283.2,         0.145511,         0.102909,         1.413975,        -2.176201,         0.222924,        -9.762074,        -0.302449,         0.070473,        -4.291691,         2.011023,         0.278228,         7.227968,         0.023605,         0.017806,         1.325661,        95.000000,        98.823596,         0.466862,         0.064410
    2, 2, 378200.19, -877.05,         0.105369,         0.086705,         1.215260,        -2.369094,         0.210355,       -11.262342,        -0.276631,         0.062684,        -4.413079,         2.166278,         0.243811,         8.885059,         0.037585,         0.014397,         2.610505,        70.000000,        79.537513,         0.626074,         0.042107
    3, 3, 357191.03, 29064.39,         0.144480,         0.087659,         1.648207,        -2.209495,         0.207492,       -10.648575,        -0.302520,         0.061238,        -4.940091,         2.020135,         0.246191,         8.205578,         0.026439,         0.015129,         1.747568,        48.000000,        56.637125,         0.528357,         0.046768
    4, 4, 358056.34, 10824.73,         0.175547,         0.091219,         1.924466,        -2.315081,         0.214541,       -10.790834,        -0.309349,         0.064368,        -4.805989,         1.986707,         0.252277,         7.875092,         0.022890,         0.015427,         1.483745,        65.000000,        73.716326,         0.572370,         0.063148
    5, 5, 366747.61, -3073.12,         0.143701,         0.087277,         1.646491,        -2.428243,         0.208326,       -11.655982,        -0.292017,         0.063016,        -4.634017,         2.072955,         0.244251,         8.486988,         0.032637,         0.014299,         2.282408,       107.000000,       105.977116,         0.643013,         0.018198
    6, 6, 351099.27, 11800.35,         0.183227,         0.092718,         1.976173,        -2.318510,         0.213381,       -10.865598,        -0.312862,         0.065140,        -4.802927,         1.959570,         0.255437,         7.671426,         0.021727,         0.015698,         1.384076,        65.000000,        70.242774,         0.561476,         0.062340
    7, 7, 377929.98, 4635.1,         0.109510,         0.086018,         1.273118,        -2.326844,         0.209086,       -11.128665,        -0.280179,         0.061920,        -4.524863,         2.141455,         0.242950,         8.814391,         0.035897,         0.014386,         2.495281,        76.000000,        75.849084,         0.608897,         0.029576
    8, 8, 367529.91, 20192.51,         0.145340,         0.088174,         1.648332,        -2.239408,         0.212994,       -10.513956,        -0.300217,         0.062210,        -4.825833,         2.042693,         0.247597,         8.250082,         0.026624,         0.015134,         1.759140,       192.000000,       149.059236,         0.553142,         0.167398
    9, 9, 389231.47, 3489.35,         0.064455,         0.081318,         0.792629,        -2.310495,         0.198134,       -11.661294,        -0.260268,         0.058859,        -4.421848,         2.214689,         0.235188,         9.416681,         0.044872,         0.013558,         3.309520,        27.000000,        26.303972,         0.617250,         0.018440
   10, 10, 389427.64, 9290.1,         0.070184,         0.081260,         0.863700,        -2.286134,         0.198493,       -11.517439,        -0.264127,         0.058624,        -4.505413,         2.195450,         0.235287,         9.330935,         0.043185,         0.013629,         3.168592,        28.000000,        25.841452,         0.605571,         0.006836
   11, 11, 381089.82, 9125.81,         0.099627,         0.084569,         1.178058,        -2.293699,         0.206323,       -11.117019,        -0.277122,         0.060776,        -4.559706,         2.148701,         0.240975,         8.916694,         0.037159,         0.014223,         2.612560,        63.000000,        58.860197,         0.598611,         0.009928
   12, 12, 371082.66, 6843.9,         0.142922,         0.089453,         1.597728,        -2.323439,         0.216116,       -10.750869,        -0.294986,         0.063936,        -4.613792,         2.077267,         0.248897,         8.345892,         0.028994,         0.015040,         1.927767,        34.000000,        30.581899,         0.595422,         0.020473
   13, 13, 388281.84, -1760.78,         0.061704,         0.082132,         0.751275,        -2.337528,         0.199668,       -11.707090,        -0.257656,         0.059611,        -4.322274,         2.232700,         0.236630,         9.435393,         0.045876,         0.013629,         3.366002,        17.000000,        19.567954,         0.627906,         0.019586
