source id,destination id,distance
1,1,0.0
1,2,1625.91349431
1,3,3295.50605182
1,4,3825.24715194
1,5,2053.92436941
1,6,237.789536126
1,7,1006.385016
1,8,930.053249685
3,1,3295.50605182
3,2,3302.80671651
3,3,0.0
3,4,4464.60749293
3,5,1807.7941268
3,6,3277.17175715
3,7,2880.68312579
3,8,2641.72564757
5,1,2053.92436941
5,2,1511.33307526
5,3,1807.7941268
5,4,2887.51768661
5,5,0.0
5,6,1924.72832003
5,7,2233.68249843
5,8,1149.4089984
7,1,1006.385016
7,2,2429.77883642
7,3,2880.68312579
7,4,4588.68703106
7,5,2233.68249843
7,6,1200.33087099
7,7,0.0
7,8,1447.20469755
8,1,930.053249685
8,2,1041.45388498
8,3,2641.72564757
8,4,3144.97039345
8,5,1149.4089984
8,6,777.660767315
8,7,1447.20469755
8,8,0.0
2,1,1625.91349431
2,2,0.0
2,3,3302.80671651
2,4,2200.03426545
2,5,1511.33307526
2,6,1390.52348765
2,7,2429.77883642
2,8,1041.45388498
4,1,3825.24715194
4,2,2200.03426545
4,3,4464.60749293
4,4,0.0
4,5,2887.51768661
4,6,3588.96627183
4,7,4588.68703106
4,8,3144.97039345
6,1,237.789536126
6,2,1390.52348765
6,3,3277.17175715
6,4,3588.96627183
6,5,1924.72832003
6,6,0.0
6,7,1200.33087099
6,8,777.660767315
