"Geographic Area","Geographic Area","Geographic Name","GEONAME","GEOCOMP","STATE","Number of Employees for All Sectors","Number of employees","Class Number","sq. km","emp/sq km"
"05000US06001","06001","Alameda County, California","Alameda County, California","00","06",630171,630171,5,1910.1,329.92
"05000US06003","06003","Alpine County, California","Alpine County, California","00","06",813,813,1,1913.1,0.42
"05000US06005","06005","Amador County, California","Amador County, California","00","06",9061,9061,2,1534.7,5.9
"05000US06007","06007","Butte County, California","Butte County, California","00","06",59578,59578,3,4246.6,14.03
"05000US06009","06009","Calaveras County, California","Calaveras County, California","00","06",7344,7344,2,2642.3,2.78
"05000US06011","06011","Colusa County, California","Colusa County, California","00","06",4000,4000,1,2980.5,1.34
"05000US06013","06013","Contra Costa County, California","Contra Costa County, California","00","06",338156,338156,5,1865.5,181.27
"05000US06015","06015","Del Norte County, California","Del Norte County, California","00","06",4303,4303,1,2610.4,1.65
"05000US06017","06017","El Dorado County, California","El Dorado County, California","00","06",44477,44477,3,4432.8,10.03
"05000US06019","06019","Fresno County, California","Fresno County, California","00","06",257975,257975,4,15444.7,16.7
"05000US06021","06021","Glenn County, California","Glenn County, California","00","06",4487,4487,1,3405.5,1.32
"05000US06023","06023","Humboldt County, California","Humboldt County, California","00","06",36962,36962,3,9253.5,3.99
"05000US06025","06025","Imperial County, California","Imperial County, California","00","06",34156,34156,3,10813.4,3.16
"05000US06027","06027","Inyo County, California","Inyo County, California","00","06",5820,5820,1,26397.5,0.22
"05000US06029","06029","Kern County, California","Kern County, California","00","06",183412,183412,4,21086.8,8.7
"05000US06031","06031","Kings County, California","Kings County, California","00","06",23610,23610,2,3598.8,6.56
"05000US06033","06033","Lake County, California","Lake County, California","00","06",10648,10648,2,3259.4,3.27
"05000US06035","06035","Lassen County, California","Lassen County, California","00","06",3860,3860,1,11803.9,0.33
"05000US06037","06037","Los Angeles County, California","Los Angeles County, California","00","06",3895886,3895886,5,10515.3,370.5
"05000US06039","06039","Madera County, California","Madera County, California","00","06",24957,24957,2,5538.5,4.51
"05000US06041","06041","Marin County, California","Marin County, California","00","06",101358,101358,4,1346.2,75.29
"05000US06043","06043","Mariposa County, California","Mariposa County, California","00","06",3739,3739,1,3758.6,0.99
"05000US06045","06045","Mendocino County, California","Mendocino County, California","00","06",24898,24898,2,9089,2.74
"05000US06047","06047","Merced County, California","Merced County, California","00","06",43369,43369,3,4995.8,8.68
"05000US06049","06049","Modoc County, California","Modoc County, California","00","06",1467,1467,1,10215.9,0.14
"05000US06051","06051","Mono County, California","Mono County, California","00","06",7289,7289,1,7885.2,0.92
"05000US06053","06053","Monterey County, California","Monterey County, California","00","06",108660,108660,4,8603.8,12.63
"05000US06055","06055","Napa County, California","Napa County, California","00","06",56029,56029,3,1952.5,28.7
"05000US06057","06057","Nevada County, California","Nevada County, California","00","06",29805,29805,3,2480.3,12.02
"05000US06059","06059","Orange County, California","Orange County, California","00","06",1478452,1478452,5,2045.3,722.85
"05000US06061","06061","Placer County, California","Placer County, California","00","06",133427,133427,4,3637.4,36.68
"05000US06063","06063","Plumas County, California","Plumas County, California","00","06",4863,4863,1,6614.8,0.74
"05000US06065","06065","Riverside County, California","Riverside County, California","00","06",556789,556789,5,18669.1,29.82
"05000US06067","06067","Sacramento County, California","Sacramento County, California","00","06",480346,480346,5,2501.1,192.05
