Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_PctRural, se_PctRural, t_PctRural, est_PctPov, se_PctPov, t_PctPov, est_PctBlack, se_PctBlack, t_PctBlack, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 13001, 941396.6, 3521764,        18.497787,         2.275693,         8.128420,        -0.085666,         0.020579,        -4.162817,        -0.232021,         0.108742,        -2.133681,         0.070628,         0.046608,         1.515356,         8.200000,         8.870416,        -0.670416,        -0.178093,         0.544113,         0.046918,         0.000096
    1, 13003, 895553, 3471916,        18.243737,         2.412516,         7.562122,        -0.080182,         0.021233,        -3.776309,        -0.288793,         0.114221,        -2.528381,         0.104956,         0.048012,         2.186025,         6.400000,         5.536022,         0.863978,         0.236274,         0.560546,         0.100691,         0.000383
    2, 13005, 930946.4, 3502787,        18.330304,         2.348055,         7.806591,        -0.083870,         0.020823,        -4.027677,        -0.249953,         0.111167,        -2.248448,         0.083855,         0.048057,         1.744900,         6.600000,         8.424698,        -1.824698,        -0.504834,         0.556554,         0.121336,         0.002159
    3, 13007, 745398.6, 3474765,        18.917715,         2.311541,         8.184027,        -0.069859,         0.022128,        -3.157073,        -0.349929,         0.116454,        -3.004877,         0.112187,         0.055260,         2.030171,         9.400000,         9.050272,         0.349728,         0.098353,         0.564771,         0.149601,         0.000104
    4, 13009, 849431.3, 3665553,        25.415820,         1.399180,        18.164795,        -0.128816,         0.015566,        -8.275723,        -0.253965,         0.083198,        -3.052547,        -0.002954,         0.036691,        -0.080518,        13.300000,        15.345744,        -2.045744,        -0.549028,         0.575322,         0.066205,         0.001311
    5, 13011, 819317.3, 3807616,        29.172419,         1.564461,        18.646951,        -0.182481,         0.020052,        -9.100191,        -0.136824,         0.126886,        -1.078321,        -0.037705,         0.041646,        -0.905356,         6.400000,         8.726694,        -2.326694,        -0.624508,         0.537646,         0.066445,         0.001703
    6, 13013, 803747.1, 3769623,        28.726583,         1.482489,        19.377264,        -0.176199,         0.018371,        -9.590984,        -0.167093,         0.114390,        -1.460727,        -0.026643,         0.038925,        -0.684461,         9.200000,        14.583064,        -5.383064,        -1.423997,         0.556481,         0.038878,         0.005031
    7, 13015, 699011.5, 3793408,        26.843339,         1.697240,        15.815879,        -0.139364,         0.021008,        -6.633810,        -0.453352,         0.134668,        -3.366454,         0.105048,         0.043602,         2.409215,         9.000000,        12.479809,        -3.479809,        -0.922019,         0.621765,         0.041994,         0.002286
    8, 13017, 863020.8, 3520432,        18.813192,         1.947256,         9.661387,        -0.080531,         0.017818,        -4.519606,        -0.278134,         0.091946,        -3.024985,         0.081732,         0.039561,         2.066004,         7.600000,        11.469966,        -3.869966,        -1.027285,         0.538207,         0.045513,         0.003086
    9, 13019, 859915.8, 3466377,        18.377663,         2.336748,         7.864631,        -0.077065,         0.020629,        -3.735820,        -0.312784,         0.110420,        -2.832689,         0.111258,         0.046568,         2.389130,         7.500000,         8.532026,        -1.032026,        -0.284282,         0.549111,         0.113621,         0.000635
