Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_PctRural, se_PctRural, t_PctRural, est_PctPov, se_PctPov, t_PctPov, est_PctBlack, se_PctBlack, t_PctBlack, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 13001, 941396.6, 3521764,        21.626865,         1.457152,        14.841875,        -0.099036,         0.015041,        -6.584203,        -0.301756,         0.078805,        -3.829137,         0.058822,         0.035097,         1.675968,         8.200000,         9.355951,        -1.155951,        -0.296583,         0.548471,         0.025265,         0.000284
    1, 13003, 895553, 3471916,        20.960601,         1.471999,        14.239551,        -0.093944,         0.015137,        -6.206105,        -0.317883,         0.078902,        -4.028843,         0.077650,         0.035724,         2.173583,         6.400000,         5.386899,         1.013101,         0.263500,         0.547804,         0.051486,         0.000469
    2, 13005, 930946.4, 3502787,        21.340670,         1.474600,        14.472180,        -0.097237,         0.015138,        -6.423569,        -0.305775,         0.079193,        -3.861155,         0.065534,         0.035436,         1.849372,         6.600000,         8.982485,        -2.382485,        -0.626296,         0.548923,         0.071458,         0.003758
    3, 13007, 745398.6, 3474765,        21.652602,         1.362160,        15.895783,        -0.093473,         0.014904,        -6.271598,        -0.354833,         0.076919,        -4.613079,         0.086734,         0.034545,         2.510765,         9.400000,         7.986999,         1.413001,         0.370642,         0.559055,         0.067443,         0.001237
    4, 13009, 849431.3, 3665553,        25.292516,         1.277116,        19.804392,        -0.126365,         0.014113,        -8.953548,        -0.286840,         0.076082,        -3.770127,         0.014001,         0.032322,         0.433170,        13.300000,        15.470543,        -2.170543,        -0.563221,         0.550567,         0.047028,         0.001949
    5, 13011, 819317.3, 3807616,        26.978495,         1.333220,        20.235594,        -0.148715,         0.015739,        -9.449124,        -0.260333,         0.091248,        -2.853020,         0.007208,         0.034424,         0.209374,         6.400000,         8.201092,        -1.801092,        -0.467232,         0.524135,         0.046529,         0.001326
    6, 13013, 803747.1, 3769623,        27.413438,         1.366252,        20.064702,        -0.155327,         0.016220,        -9.576329,        -0.244799,         0.095199,        -2.571454,         0.001305,         0.035223,         0.037042,         9.200000,        13.795686,        -4.595686,        -1.181006,         0.529843,         0.028379,         0.005071
    7, 13015, 699011.5, 3793408,        25.928870,         1.348245,        19.231566,        -0.135314,         0.015806,        -8.560655,        -0.351185,         0.091376,        -3.843275,         0.058437,         0.034661,         1.685933,         9.000000,        12.533795,        -3.533795,        -0.907169,         0.539704,         0.026342,         0.002772
    8, 13017, 863020.8, 3520432,        21.263945,         1.402561,        15.160798,        -0.094378,         0.014629,        -6.451384,        -0.317260,         0.076506,        -4.146880,         0.070311,         0.034527,         2.036377,         7.600000,        12.051309,        -4.451309,        -1.143223,         0.541964,         0.027221,         0.004553
    9, 13019, 859915.8, 3466377,        20.946762,         1.437381,        14.572870,        -0.092411,         0.014981,        -6.168355,        -0.328129,         0.077704,        -4.222829,         0.082514,         0.035502,         2.324250,         7.500000,         9.455091,        -1.955091,        -0.509968,         0.546717,         0.056922,         0.001954
   10, 13021, 809736.9, 3636468,        24.532429,         1.242482,        19.744688,        -0.119568,         0.013828,        -8.646600,        -0.311192,         0.074254,        -4.190933,         0.034437,         0.031432,         1.095605,        17.000000,        18.067824,        -1.067824,        -0.280841,         0.564208,         0.072364,         0.000766
