,index,count,d_cap,d_tract,distance,end station latitude,end station longitude,o_cap,o_tract,start station latitude,start station longitude,tripduration,o_pop,d_pop,o_housing,d_housing,tract_x,o_sq_foot,tract_y,d_sq_foot,tract,diffs_out,start,end,weighted,total_out,total_in,o_hub,d_hub,od_hub,SX,SY,EX,EY
0,0,5709,255.0,000600,,40.7128987867,-73.9898646367,162.0,000202,40.71318002,-73.9818904933,474.173605013,8012,11558,3598,4083,000202,37878157.9781,000600,59149181.7526,000600,28553756.0,000202,000600,0.0,56352,69165,hub,hub,hub,585995.353038,4507416.50937,585322.159723,4507377.5136
1,1,4010,595.0,000600,,40.7128987867,-73.9898646367,774.0,000700,40.70581148,-74.0081572071,765.920864463,7722,11558,5201,4083,000700,476954959.734,000600,59149181.7526,000600,28553756.0,000700,000600,0.0,160040,69165,hub,hub,hub,583785.918305,4506573.16797,585322.159723,4507377.5136
2,2,1906,170.0,000600,,40.7128987867,-73.9898646367,141.0,000800,40.712414475,-73.993471545,395.842085258,10365,11558,4150,4083,000800,46479755.076,000600,59149181.7526,000600,28553756.0,000800,000600,0.0,34254,69165,hub,hub,non_hub,585018.109713,4507320.25418,585322.159723,4507377.5136
3,3,1192,255.0,000600,,40.7128987867,-73.9898646367,291.0,000900,40.7024745833,-74.01224785,882.062411975,1140,11558,939,4083,000900,404341803.896,000600,59149181.7526,000600,28553756.0,000900,000600,0.0,46446,69165,hub,hub,non_hub,583444.520998,4506198.85784,585322.159723,4507377.5136
4,4,484,85.0,000600,,40.7128987867,-73.9898646367,57.0,001002,40.71782143,-73.97628939,767.28495098,6439,11558,2346,4083,001002,22763374.2099,000600,59149181.7526,000600,28553756.0,001002,000600,0.0,15916,69165,hub,hub,non_hub,586462.45635,4507937.23607,585322.159723,4507377.5136
5,5,1098,170.0,000600,,40.7128987867,-73.9898646367,138.0,001200,40.717364275,-73.982955325,664.901414077,3547,11558,1857,4083,001200,23518220.7411,000600,59149181.7526,000600,28553756.0,001200,000600,0.0,36493,69165,hub,hub,non_hub,585900.031125,4507879.94738,585322.159723,4507377.5136
6,6,395,85.0,000600,,40.7128987867,-73.9898646367,108.0,001300,40.70463334,-74.01361706,932.706217007,3776,11558,3028,4083,001300,286606455.687,000600,59149181.7526,000600,28553756.0,001300,000600,0.0,27671,69165,hub,hub,non_hub,583326.158808,4506437.19368,585322.159723,4507377.5136
7,7,1650,85.0,000600,,40.7128987867,-73.9898646367,84.0,001401,40.71559509,-73.9870295,328.814105953,3289,11558,1708,4083,001401,20168722.3199,000600,59149181.7526,000600,28553756.0,001401,000600,0.0,26885,69165,hub,hub,non_hub,585558.18429,4507679.57909,585322.159723,4507377.5136
8,8,724,170.0,000600,,40.7128987867,-73.9898646367,201.0,001501,40.70966832,-74.003597135,658.717531438,5581,11558,3450,4083,001501,172466366.322,000600,59149181.7526,000600,28553756.0,001501,000600,0.0,27425,69165,hub,hub,non_hub,584166.279828,4507005.66129,585322.159723,4507377.5136
9,9,1427,255.0,000600,,40.7128987867,-73.9898646367,369.0,001502,40.7088053467,-74.00635276,726.527217349,7095,11558,3459,4083,001502,221282059.103,000600,59149181.7526,000600,28553756.0,001502,000600,0.0,82052,69165,hub,hub,non_hub,583934.59195,4506907.22889,585322.159723,4507377.5136
