Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         3.733837,         0.971933,         3.841659,         7.604286,         1.860931,         4.086281,        -2.415012,         0.448544,        -5.384117,        -3.546584,         2.463207,        -1.439823,         0.716628,         0.137907,         5.196449,       189.000000,       136.016202,         0.862581,         0.661318
    1, 1, 334095.21, 25283.2,         7.633481,         0.465515,        16.397925,         5.986063,         1.988897,         3.009740,        -5.484860,         0.463578,       -11.831582,         7.358664,         1.633550,         4.504706,        -0.284917,         0.074182,        -3.840764,        95.000000,        84.898655,         0.610052,         0.519933
    2, 2, 378200.19, -877.05,         6.370555,         0.418279,        15.230399,         5.515393,         1.095030,         5.036752,        -3.511897,         0.229639,       -15.293144,        -5.897899,         1.291468,        -4.566818,         0.155022,         0.089419,         1.733661,        70.000000,        54.568387,         0.815542,         0.406916
    3, 3, 357191.03, 29064.39,         7.469382,         0.655363,        11.397321,         1.570668,         1.784117,         0.880361,        -2.392275,         0.839200,        -2.850661,        -8.992308,         2.602416,        -3.455369,        -0.335384,         0.127733,        -2.625658,        48.000000,        48.422571,         0.863300,         0.491301
    4, 4, 358056.34, 10824.73,         7.987869,         0.418374,        19.092663,        -2.836901,         0.895043,        -3.169568,        -5.062321,         0.306180,       -16.533813,        -4.015883,         1.206674,        -3.328060,         0.414899,         0.063573,         6.526341,        65.000000,        48.998729,         0.824660,         0.243879
    5, 5, 366747.61, -3073.12,         7.497491,         0.300542,        24.946529,         1.246136,         0.779104,         1.599448,        -6.041447,         0.201584,       -29.969930,        -1.080732,         1.111288,        -0.972504,         0.575874,         0.065769,         8.755945,       107.000000,       208.895547,         0.853538,         0.179771
    6, 6, 351099.27, 11800.35,         8.029923,         0.316657,        25.358430,        -0.243812,         0.771837,        -0.315886,        -4.449882,         0.291634,       -15.258461,        -5.934544,         1.105122,        -5.370035,         0.140027,         0.047073,         2.974672,        65.000000,        47.158434,         0.764173,         0.186211
    7, 7, 377929.98, 4635.1,         6.208413,         0.554347,        11.199513,         3.995825,         1.179244,         3.388462,        -3.237152,         0.287947,       -11.242188,        -6.422843,         1.345907,        -4.772131,         0.231338,         0.097082,         2.382919,        76.000000,        69.426794,         0.808589,         0.184727
    8, 8, 367529.91, 20192.51,        11.614562,         0.867568,        13.387496,        -9.521557,         1.693613,        -5.622038,        -6.567208,         0.503411,       -13.045413,       -12.104769,         2.300356,        -5.262127,        -0.021523,         0.094549,        -0.227636,       192.000000,       189.338366,         0.902443,         0.983594
    9, 9, 389231.47, 3489.35,         3.769475,         0.627516,         6.006980,        21.493203,         3.217808,         6.679456,        -2.836678,         0.290188,        -9.775322,         5.811257,         2.584423,         2.248570,        -0.239897,         0.110822,        -2.164702,        27.000000,        30.017181,         0.782592,         0.161108
