16,6
"id","y","z","z2","z4","wzz"
1,39,-6.375,40.640625,1.651660e+03,68.531250
2,41,-4.375,19.140625,3.663635e+02,74.921875
3,38,-7.375,54.390625,2.958340e+03,67.296875
4,45,-0.375,0.140625,1.977539e-02,4.031250
5,39,-6.375,40.640625,1.651660e+03,45.421875
6,42,-3.375,11.390625,1.297463e+02,38.812500
7,41,-4.375,19.140625,3.663635e+02,50.312500
8,42,-3.375,11.390625,1.297463e+02,-2.953125
9,48,2.625,6.890625,4.748071e+01,-2.953125
10,49,3.625,13.140625,1.726760e+02,27.187500
11,48,2.625,6.890625,4.748071e+01,24.937500
12,51,5.625,31.640625,1.001129e+03,49.921875
13,47,1.625,2.640625,6.972900e+00,13.406250
14,51,5.625,31.640625,1.001129e+03,55.546875
15,50,4.625,21.390625,4.575588e+02,82.671875
16,55,9.625,92.640625,8.582285e+03,98.6562509
