Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_Elev, se_Elev, t_Elev, est_Slope, se_Slope, t_Slope, est_SinAspct, se_SinAspct, t_SinAspct, est_CosAspct, se_CosAspct, t_CosAspct, est_AbsSouth, se_AbsSouth, t_AbsSouth, est_DistStrm, se_DistStrm, t_DistStrm, y, yhat, localpdev, Ginfluence
    0, 1, 616168.5625, 5201076.5,         1.130178,         2.618658,         0.431587,        -0.002166,         0.000616,        -3.515336,         0.043009,         0.022388,         1.921087,         0.317213,         0.259325,         1.223225,        -1.303400,         2.042808,        -0.638043,         0.012233,         0.027812,         0.439850,        -0.002619,         0.001910,        -1.370992,         1.000000,         0.681633,         0.182103,         0.046709
    1, 2, 624923.8125, 5201008.5,         0.678550,         2.748040,         0.246921,        -0.002176,         0.000642,        -3.391518,         0.042362,         0.023685,         1.788574,         0.262447,         0.260785,         1.006373,        -1.815914,         2.146941,        -0.845815,         0.018479,         0.029241,         0.631946,        -0.002797,         0.002013,        -1.389836,         1.000000,         0.465041,         0.184004,         0.089686
    2, 3, 615672, 5199187.5,         1.359204,         2.693369,         0.504648,        -0.002089,         0.000630,        -3.314649,         0.040162,         0.022914,         1.752681,         0.337783,         0.266874,         1.265703,        -1.091704,         2.099098,        -0.520082,         0.009680,         0.028608,         0.338373,        -0.002562,         0.001952,        -1.312407,         1.000000,         0.668494,         0.169622,         0.073112
    3, 4, 615209.3125, 5199112,         1.406293,         2.696512,         0.521523,        -0.002105,         0.000632,        -3.329558,         0.040218,         0.022925,         1.754357,         0.342666,         0.267840,         1.279366,        -1.061672,         2.101408,        -0.505219,         0.009276,         0.028639,         0.323883,        -0.002546,         0.001955,        -1.302211,         1.000000,         0.547881,         0.170640,         0.075390
    4, 5, 616354.6875, 5198945.5,         1.222412,         2.625292,         0.465629,        -0.002103,         0.000615,        -3.417278,         0.042436,         0.022396,         1.894787,         0.319173,         0.258953,         1.232552,        -1.156701,         2.047671,        -0.564886,         0.010536,         0.027889,         0.377787,        -0.002491,         0.001905,        -1.307648,         1.000000,         0.581829,         0.174542,         0.058114
    5, 6, 614559, 5198855,         1.491748,         2.707812,         0.550905,        -0.002126,         0.000637,        -3.339149,         0.040169,         0.022988,         1.747398,         0.350905,         0.269785,         1.300682,        -1.003349,         2.109890,        -0.475546,         0.008506,         0.028756,         0.295791,        -0.002513,         0.001962,        -1.281009,         1.000000,         0.598255,         0.171509,         0.040630
    6, 7, 618648.5, 5198468,         1.136521,         2.717107,         0.418283,        -0.002005,         0.000630,        -3.181638,         0.039494,         0.023189,         1.703147,         0.312319,         0.263778,         1.184023,        -1.232778,         2.118266,        -0.581975,         0.011669,         0.028877,         0.404107,        -0.002581,         0.001960,        -1.316876,         1.000000,         0.650072,         0.162127,         0.079547
    7, 8, 622724.0625, 5197661,         0.893356,         2.945943,         0.303250,        -0.002020,         0.000687,        -2.941342,         0.035256,         0.025318,         1.392503,         0.297928,         0.277241,         1.074618,        -1.626113,         2.295644,        -0.708347,         0.016836,         0.031310,         0.537720,        -0.002722,         0.002126,        -1.280219,         1.000000,         0.725125,         0.154271,         0.053654
    8, 9, 622363.4375, 5196686.5,         0.932409,         2.912892,         0.320097,        -0.002022,         0.000680,        -2.971714,         0.036023,         0.025054,         1.437848,         0.295100,         0.273822,         1.077709,        -1.546956,         2.270886,        -0.681212,         0.015951,         0.030967,         0.515093,        -0.002546,         0.002097,        -1.213772,         1.000000,         0.713874,         0.153994,         0.035107
    9, 10, 622308.125, 5196407.5,         0.951183,         2.930394,         0.324592,        -0.002014,         0.000685,        -2.940872,         0.035542,         0.025207,         1.410029,         0.296478,         0.275047,         1.077917,        -1.530278,         2.284233,        -0.669931,         0.015813,         0.031152,         0.507608,        -0.002509,         0.002107,        -1.190999,         1.000000,         0.634964,         0.151747,         0.073343
   10, 11, 616650.125, 5195894,         1.586225,         2.767382,         0.573186,        -0.001882,         0.000642,        -2.930135,         0.038332,         0.023453,         1.634400,         0.334128,         0.269471,         1.239942,        -0.692539,         2.156147,        -0.321193,         0.005087,         0.029413,         0.172957,        -0.002237,         0.001969,        -1.136144,         1.000000,         0.642725,         0.145031,         0.045216
   11, 12, 616583.3125, 5195804,         1.588965,         2.758084,         0.576112,        -0.001887,         0.000641,        -2.944501,         0.038644,         0.023378,         1.653054,         0.333475,         0.268691,         1.241107,        -0.683045,         2.149202,        -0.317813,         0.004970,         0.029315,         0.169549,        -0.002217,         0.001963,        -1.129281,         1.000000,         0.487317,         0.145720,         0.108545
   12, 13, 615594.5625, 5195718,         1.713096,         2.741463,         0.624884,        -0.001925,         0.000640,        -3.007823,         0.039348,         0.023198,         1.696179,         0.342997,         0.269206,         1.274106,        -0.586887,         2.136403,        -0.274708,         0.003635,         0.029133,         0.124786,        -0.002174,         0.001956,        -1.111371,         1.000000,         0.612478,         0.149453,         0.075830
   13, 14, 620206.75, 5194831,         1.207313,         2.864408,         0.421488,        -0.001898,         0.000667,        -2.847965,         0.036856,         0.024524,         1.502891,         0.300409,         0.269662,         1.114018,        -1.081365,         2.233436,        -0.484171,         0.010478,         0.030465,         0.343919,        -0.002133,         0.002028,        -1.051968,         1.000000,         0.697526,         0.140925,         0.047679
