AreaKey,Latitude,Longitud,TotPop90,PctRural,PctBach,PctEld,PctFB,PctPov,PctBlack,ID,X,Y
13001,31.75339,-82.28558,15744,75.60,8.20,11.43,0.64,19.90,20.76,133,941396.60,3521764.00
13003,31.29486,-82.87474,6213,100.00,6.40,11.77,1.58,26.00,26.86,158,895553.00,3471916.00
13005,31.55678,-82.45115,9566,61.70,6.60,11.11,0.27,24.10,15.42,146,930946.40,3502787.00
13007,31.33084,-84.45401,3615,100.00,9.40,13.17,0.11,24.80,51.67,155,745398.60,3474765.00
13009,33.07193,-83.25085,39530,42.70,13.30,8.64,1.43,17.50,42.39,79,849431.30,3665553.00
13011,34.35270,-83.50054,10308,100.00,6.40,11.37,0.34,15.10,3.49,23,819317.30,3807616.00
13013,33.99347,-83.71181,29721,64.60,9.20,10.63,0.92,14.70,11.44,33,803747.10,3769623.00
13015,34.23840,-84.83918,55911,75.20,9.00,9.66,0.82,10.70,9.21,24,699011.50,3793408.00
13017,31.75940,-83.21976,16245,47.00,7.60,12.81,0.33,22.00,31.33,138,863020.80,3520432.00
13019,31.27424,-83.23179,14153,66.20,7.50,11.98,1.19,19.30,11.62,153,859915.80,3466377.00
13021,32.80451,-83.69915,149967,16.10,17.00,12.23,1.06,19.20,41.68,85,809736.90,3636468.00
13023,32.43552,-83.33121,10430,57.90,10.30,12.60,0.64,18.30,22.36,100,844270.10,3595691.00
13025,31.19702,-81.98323,11077,100.00,5.80,9.02,0.33,18.20,4.58,159,979288.90,3463849.00
13027,30.84653,-83.57726,15398,65.60,9.10,13.68,1.76,25.90,41.47,169,827822.00,3421638.00
13029,32.02037,-81.43763,15438,80.60,11.80,7.22,0.45,13.20,14.85,118,1023145.00,3554982.00
13031,32.39071,-81.74391,43125,63.20,19.90,9.56,1.16,27.50,25.95,97,994903.40,3600493.00
13033,33.05837,-81.99939,20579,72.30,9.60,10.60,0.43,30.30,52.19,71,971593.80,3671394.00
