Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_PctRural, se_PctRural, t_PctRural, est_PctPov, se_PctPov, t_PctPov, est_PctBlack, se_PctBlack, t_PctBlack, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 13001, 941396.6, 3521764,        17.773084,         2.613925,         6.799385,        -0.084447,         0.022534,        -3.747519,        -0.206895,         0.123152,        -1.680000,         0.072218,         0.053829,         1.341633,         8.200000,         8.770904,        -0.570904,        -0.152628,         0.534242,         0.046417,         0.000068
    1, 13003, 895553, 3471916,        17.909007,         2.851004,         6.281650,        -0.075912,         0.023937,        -3.171273,        -0.300513,         0.134796,        -2.229398,         0.116286,         0.057385,         2.026436,         6.400000,         5.627943,         0.772057,         0.212853,         0.559361,         0.103315,         0.000312
    2, 13005, 930946.4, 3502787,        17.741664,         2.738235,         6.479233,        -0.081922,         0.023223,        -3.527632,        -0.235500,         0.126826,        -1.856878,         0.088548,         0.057898,         1.529380,         6.600000,         8.376916,        -1.776916,        -0.496464,         0.547517,         0.126915,         0.002142
    3, 13007, 745398.6, 3474765,        18.862030,         2.594357,         7.270406,        -0.068144,         0.023305,        -2.924023,        -0.355610,         0.133412,        -2.665500,         0.115038,         0.060624,         1.897563,         9.400000,         9.172561,         0.227439,         0.064599,         0.566464,         0.155149,         0.000046
    4, 13009, 849431.3, 3665553,        25.837943,         1.440975,        17.930872,        -0.132573,         0.016150,        -8.208601,        -0.238408,         0.086974,        -2.741124,        -0.014170,         0.039810,        -0.355929,        13.300000,        15.404309,        -2.104309,        -0.567856,         0.575601,         0.064075,         0.001320
    5, 13011, 819317.3, 3807616,        29.452459,         1.621412,        18.164695,        -0.188534,         0.020954,        -8.997310,        -0.113731,         0.134442,        -0.845946,        -0.041081,         0.043226,        -0.950360,         6.400000,         8.738397,        -2.338397,        -0.630888,         0.541123,         0.063666,         0.001618
    6, 13013, 803747.1, 3769623,        28.770962,         1.518404,        18.948166,        -0.180582,         0.019082,        -9.463370,        -0.138754,         0.123232,        -1.125951,        -0.032265,         0.039831,        -0.810044,         9.200000,        14.696568,        -5.496568,        -1.463365,         0.558627,         0.038440,         0.005119
    7, 13015, 699011.5, 3793408,        26.813145,         1.908661,        14.048145,        -0.139906,         0.022388,        -6.249145,        -0.445255,         0.144918,        -3.072471,         0.110329,         0.048948,         2.253984,         9.000000,        12.544111,        -3.544111,        -0.944225,         0.621363,         0.039798,         0.002210
    8, 13017, 863020.8, 3520432,        17.817773,         2.293042,         7.770366,        -0.078207,         0.019218,        -4.069523,        -0.250181,         0.102862,        -2.432205,         0.085012,         0.041759,         2.035768,         7.600000,        11.301525,        -3.701525,        -0.989175,         0.522976,         0.045637,         0.002798
    9, 13019, 859915.8, 3466377,        17.952365,         2.742204,         6.546692,        -0.071777,         0.022797,        -3.148468,        -0.326830,         0.132602,        -2.464739,         0.123942,         0.052832,         2.345960,         7.500000,         8.333094,        -0.833094,        -0.230898,         0.543268,         0.112750,         0.000405
   10, 13021, 809736.9, 3636468,        24.680587,         1.375496,        17.943044,        -0.122250,         0.015524,        -7.874790,        -0.284150,         0.084326,        -3.369660,         0.019054,         0.038985,         0.488766,        17.000000,        18.050870,        -1.050870,        -0.289512,         0.598558,         0.102024,         0.000569
   11, 13023, 844270.1, 3595691,        21.243540,         1.662502,        12.778051,        -0.094528,         0.017022,        -5.553267,        -0.272811,         0.083588,        -3.263751,         0.040740,         0.038950,         1.045975,        10.300000,        11.688884,        -1.388884,        -0.370597,         0.551615,         0.042746,         0.000367
