78,4
"FIPSNO","HR8488","HR8893","HC8488"
17107,1.290722,1.624458,2
17001,2.655839,2.255492,9
17129,1.742433,1.46789,1
17017,1.437029,2.484256,1
17009,0,0,0
17115,6.036815,9.048673,37
17167,5.441418,6.029489,48
29127,0,1.800385,0
17137,2.166249,4.581251,4
17149,3.298008,3.790607,3
17021,1.696334,1.447436,3
17139,1.401227,1.191966,1
17171,0,0,0
17029,3.059402,1.608017,8
29173,4.551143,1.949812,2
17173,1.74703,0.74509,2
29163,3.68062,4.173318,3
17135,1.897425,3.783252,3
17117,1.63764,2.085136,4
17061,2.545112,2.176302,2
17013,3.631346,6.309347,1
17035,1.85031,10.855743,1
29007,0.804887,4.211354,1
17083,2.944756,0.80481,3
29019,3.377637,3.215331,18
29113,5.406741,2.833664,7
17051,0.925198,1.59204,1
17049,0,1.571158,0
17079,1.804761,3.12759,1
29139,3.567161,4.416896,2
29027,3.769152,3.017486,6
17005,2.575594,9.924245,2
17119,6.715531,7.973957,83
29219,7.870032,5.005464,7
29183,2.305501,2.463891,21
17025,0,0,0
29189,5.860835,7.377974,289
17159,1.147276,1.003875,1
17121,3.702093,3.190047,8
29510,36.000126,45.905406,763
17027,0.592031,2.447597,1
29051,6.140481,1.294958,19
29073,4.395604,5.933098,3
29151,1.648397,4.133997,1
29071,4.457906,4.298311,17
17163,20.15847,27.483827,268
17191,2.208554,0.969791,2
17047,2.502127,0,1
17133,0.951095,2.934466,1
17189,0,4.456427,0
29099,4.159251,4.629264,33
17081,10.01555,4.941533,19
29131,3.941081,3.990041,4
29125,7.53712,2.064324,3
17193,2.269143,3.040253,2
17065,2.235586,3.905411,1
17157,4.534839,4.332839,8
17145,1.821245,3.894111,2
29055,9.644545,6.828794,9
29221,8.400979,3.263947,8
29161,4.036001,3.282163,7
17055,7.543185,3.295762,16
29186,5.125642,7.249679,4
29187,4.428286,3.041846,10
29169,3.429187,1.618018,7
17077,2.610668,4.910801,8
29157,7.23493,1.991457,6
17199,6.842239,3.146192,20
29065,1.42849,7.26665,1
29093,9.329751,3.110904,5
29123,5.436063,2.980271,3
29215,6.577835,3.866767,7
17181,4.392081,1.868408,4
29179,5.856001,12.577034,2
29017,5.763799,7.803599,3
29031,2.651026,3.47149,8
29203,7.79403,4.334822,3
29223,0,8.451537,0
