Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         0.190926,         0.189581,         1.007098,        -1.544184,         0.493528,        -3.128868,        -0.340089,         0.120284,        -2.827371,         2.106230,         0.601909,         3.499251,        -0.011423,         0.033762,        -0.338340,       189.000000,       190.069178,         0.430166,         0.169991
    1, 1, 334095.21, 25283.2,         0.109053,         0.243659,         0.447562,        -1.397581,         0.633099,        -2.207523,        -0.142401,         0.177875,        -0.800565,         1.595709,         0.804852,         1.982612,        -0.024374,         0.044034,        -0.553529,        95.000000,        93.532367,         0.330260,         0.290894
    2, 2, 378200.19, -877.05,         0.196020,         0.178653,         1.097206,        -2.274916,         0.465536,        -4.886664,        -0.339069,         0.109996,        -3.082558,         2.327111,         0.466099,         4.992736,         0.007552,         0.031193,         0.242104,        70.000000,        81.207744,         0.625957,         0.119069
    3, 3, 357191.03, 29064.39,         0.281538,         0.215131,         1.308678,        -1.259806,         0.530923,        -2.372861,        -0.268462,         0.149378,        -1.797199,         1.351389,         0.714549,         1.891246,        -0.046636,         0.038902,        -1.198810,        48.000000,        57.042355,         0.257838,         0.130946
    4, 4, 358056.34, 10824.73,         0.236405,         0.176395,         1.340200,        -1.821119,         0.446716,        -4.076678,        -0.328990,         0.113764,        -2.891849,         2.004754,         0.504128,         3.976677,        -0.011757,         0.031054,        -0.378593,        65.000000,        74.954011,         0.466956,         0.160332
    5, 5, 366747.61, -3073.12,         0.251438,         0.163019,         1.542383,        -2.596579,         0.420675,        -6.172406,        -0.323817,         0.102634,        -3.155062,         2.101766,         0.378404,         5.554286,         0.006795,         0.028565,         0.237874,       107.000000,       105.816789,         0.684930,         0.041579
    6, 6, 351099.27, 11800.35,         0.268743,         0.183927,         1.461145,        -1.861662,         0.445990,        -4.174221,        -0.333762,         0.118738,        -2.810904,         1.967001,         0.549317,         3.580811,        -0.019181,         0.032396,        -0.592067,        65.000000,        72.655433,         0.427429,         0.164914
    7, 7, 377929.98, 4635.1,         0.176225,         0.182966,         0.963153,        -1.948520,         0.475524,        -4.097626,        -0.342963,         0.113375,        -3.025030,         2.335310,         0.512055,         4.560665,         0.002540,         0.031878,         0.079682,        76.000000,        75.986967,         0.563366,         0.066055
    8, 8, 367529.91, 20192.51,         0.228473,         0.191417,         1.193589,        -1.430526,         0.493219,        -2.900385,        -0.315294,         0.127603,        -2.470892,         1.781975,         0.624174,         2.854934,        -0.022654,         0.034459,        -0.657423,       192.000000,       172.453844,         0.343022,         0.716351
    9, 9, 389231.47, 3489.35,         0.063528,         0.188614,         0.336816,        -1.872697,         0.503667,        -3.718127,        -0.308254,         0.114714,        -2.687160,         2.611813,         0.536720,         4.866250,         0.022630,         0.032879,         0.688293,        27.000000,        26.414842,         0.572204,         0.045739
