Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         9.074036,         0.073984,       122.648331,        -5.142149,         0.187186,       -27.470845,        -5.248993,         0.055641,       -94.336143,        -3.748701,         0.211766,       -17.702104,         0.063281,         0.012091,         5.233592,       189.000000,       153.956623,         0.669769,         0.017050
    1, 1, 334095.21, 25283.2,         8.410777,         0.093472,        89.981413,        -3.826044,         0.210624,       -18.165278,        -4.991247,         0.066799,       -74.720395,        -1.291807,         0.253416,        -5.097581,         0.071839,         0.015879,         4.524037,        95.000000,       115.954351,         0.637569,         0.060948
    2, 2, 378200.19, -877.05,         9.266997,         0.078175,       118.541648,        -5.418820,         0.194849,       -27.810354,        -5.317602,         0.059268,       -89.720968,        -4.646020,         0.217230,       -21.387574,         0.068904,         0.012438,         5.539975,        70.000000,        81.656996,         0.675216,         0.033105
    3, 3, 357191.03, 29064.39,         8.819506,         0.078174,       112.818937,        -4.725862,         0.193624,       -24.407415,        -5.178919,         0.057417,       -90.199013,        -2.674651,         0.221580,       -12.070818,         0.069701,         0.013202,         5.279692,        48.000000,        69.816366,         0.662878,         0.042822
    4, 4, 358056.34, 10824.73,         9.134424,         0.079429,       115.001420,        -5.429366,         0.195983,       -27.703250,        -5.331736,         0.058886,       -90.544115,        -3.155001,         0.222122,       -14.203894,         0.053647,         0.013087,         4.099294,        65.000000,        56.964223,         0.666054,         0.035981
    5, 5, 366747.61, -3073.12,         9.343691,         0.076804,       121.655760,        -5.931095,         0.190135,       -31.194118,        -5.359711,         0.058112,       -92.231188,        -3.932469,         0.213200,       -18.444977,         0.050443,         0.012093,         4.171209,       107.000000,       148.483203,         0.660986,         0.025549
    6, 6, 351099.27, 11800.35,         9.083190,         0.080970,       112.180119,        -5.437597,         0.195029,       -27.880971,        -5.316756,         0.059557,       -89.271287,        -2.504094,         0.224224,       -11.167820,         0.041363,         0.013385,         3.090139,        65.000000,        60.740515,         0.656304,         0.038487
    7, 7, 377929.98, 4635.1,         9.210313,         0.077351,       119.071609,        -5.322749,         0.194119,       -27.420016,        -5.305609,         0.058473,       -90.736491,        -4.409552,         0.217023,       -20.318348,         0.068710,         0.012430,         5.527824,        76.000000,        66.162583,         0.675688,         0.025443
    8, 8, 367529.91, 20192.51,         9.013437,         0.077806,       115.845185,        -4.988202,         0.197298,       -25.282531,        -5.263056,         0.057886,       -90.921786,        -3.555127,         0.222052,       -16.010346,         0.071542,         0.013021,         5.494533,       192.000000,       197.649432,         0.673927,         0.204641
    9, 9, 389231.47, 3489.35,         9.194835,         0.075021,       122.563621,        -5.293082,         0.186581,       -28.368882,        -5.258926,         0.056708,       -92.737218,        -4.371140,         0.211092,       -20.707284,         0.060387,         0.011979,         5.041098,        27.000000,        52.865691,         0.671303,         0.027392
   10, 10, 389427.64, 9290.1,         9.141264,         0.074693,       122.383814,        -5.183981,         0.186998,       -27.722182,        -5.246591,         0.056377,       -93.062607,        -4.237223,         0.211628,       -20.021991,         0.063926,         0.012019,         5.318651,        28.000000,       171.730664,         0.671966,         0.036983
   11, 11, 381089.82, 9125.81,         9.157106,         0.076461,       119.762361,        -5.203088,         0.192631,       -27.010683,        -5.279801,         0.057695,       -91.512183,        -4.295181,         0.216166,       -19.869835,         0.069048,         0.012367,         5.583183,        63.000000,       111.258088,         0.675491,         0.017910
   12, 12, 371082.66, 6843.9,         9.186409,         0.078873,       116.471335,        -5.298157,         0.198732,       -26.659802,        -5.324574,         0.059392,       -89.651995,        -4.230761,         0.221438,       -19.105863,         0.073229,         0.012807,         5.717804,        34.000000,        34.583360,         0.677431,         0.022704
   13, 13, 388281.84, -1760.78,         9.247242,         0.075910,       121.818623,        -5.377844,         0.187730,       -28.646717,        -5.272459,         0.057462,       -91.754793,        -4.564542,         0.211969,       -21.533983,         0.059052,         0.012044,         4.902815,        17.000000,        32.343811,         0.671604,         0.025496
   14, 14, 386771.66, -4857.11,         9.283836,         0.076489,       121.374318,        -5.443946,         0.188653,       -28.856895,        -5.283609,         0.057975,       -91.135542,        -4.678866,         0.212575,       -22.010445,         0.058079,         0.012092,         4.803201,        25.000000,        25.704914,         0.671464,         0.025031
   15, 15, 397029.93, 4912.15,         9.154871,         0.073950,       123.797997,        -5.212980,         0.183267,       -28.444755,        -5.225559,         0.055830,       -93.597224,        -4.279668,         0.208880,       -20.488641,         0.059318,         0.011812,         5.021672,        17.000000,        22.392866,         0.669267,         0.024045
   16, 16, 399583.28, 1217.51,         9.168450,         0.073158,       125.323834,        -5.271901,         0.180344,       -29.232492,        -5.216248,         0.055256,       -94.401444,        -4.223207,         0.206449,       -20.456457,         0.054280,         0.011640,         4.663153,        31.000000,        30.300505,         0.666263,         0.023312
   17, 17, 389413.79, 18915.59,         9.047782,         0.071651,       126.275723,        -5.110305,         0.180358,       -28.334227,        -5.207427,         0.053977,       -96.474067,        -3.665047,         0.205657,       -17.821124,         0.059159,         0.011628,         5.087487,        27.000000,        26.593260,         0.664824,         0.025958
   18, 18, 374811.31, 23395.2,         8.999106,         0.074599,       120.633246,        -4.990847,         0.189421,       -26.347875,        -5.230304,         0.055832,       -93.678941,        -3.533458,         0.214398,       -16.480873,         0.067797,         0.012353,         5.488264,        10.000000,        30.512712,         0.669952,         0.023886
   19, 19, 366291.01, 3851.09,         9.223767,         0.079786,       115.606018,        -5.464277,         0.199318,       -27.414922,        -5.348168,         0.059998,       -89.139151,        -4.082177,         0.222215,       -18.370382,         0.070852,         0.012875,         5.502888,        42.000000,        37.160080,         0.674355,         0.026699
   20, 20, 362053.67, 7027.25,         9.183685,         0.080617,       113.916836,        -5.417327,         0.200624,       -27.002372,        -5.348398,         0.060130,       -88.947354,        -3.717818,         0.224682,       -16.546986,         0.066457,         0.013178,         5.042947,        20.000000,        29.699854,         0.672858,         0.027742
   21, 21, 350567.45, 26456.28,         8.784883,         0.080222,       109.507285,        -4.716307,         0.194644,       -24.230420,        -5.171281,         0.058585,       -88.269742,        -2.311228,         0.224823,       -10.280218,         0.064987,         0.013539,         4.800032,        40.000000,        31.504735,         0.657831,         0.025902
   22, 22, 356783.59, 23682.89,         8.902883,         0.078129,       113.950515,        -4.926818,         0.193251,       -25.494427,        -5.222062,         0.057521,       -90.784721,        -2.728844,         0.221115,       -12.341289,         0.062867,         0.013135,         4.786385,        15.000000,        38.203355,         0.663177,         0.026242
   23, 23, 356225.47, 19763.98,         8.964701,         0.079165,       113.241165,        -5.049515,         0.195340,       -25.849823,        -5.257602,         0.058277,       -90.217964,        -2.813649,         0.223123,       -12.610303,         0.059704,         0.013291,         4.491980,        47.000000,        55.344059,         0.664599,         0.037684
   24, 24, 338360.54, 25697.56,         8.549179,         0.088387,        96.724930,        -4.204848,         0.203537,       -20.658924,        -5.063401,         0.063573,       -79.646686,        -1.549956,         0.241424,        -6.420043,         0.067885,         0.014966,         4.535871,        68.000000,       129.402746,         0.644564,         0.099890
   25, 25, 337846.31, 18213.38,         8.723631,         0.087477,        99.725252,        -4.652824,         0.200282,       -23.231309,        -5.151293,         0.063417,       -81.229477,        -1.377811,         0.239016,        -5.764515,         0.042412,         0.014721,         2.881016,        17.000000,        46.593449,         0.638758,         0.027529
   26, 26, 344074.13, 27136.92,         8.661581,         0.083777,       103.388539,        -4.468582,         0.198221,       -22.543386,        -5.116281,         0.060674,       -84.323712,        -1.912029,         0.231625,        -8.254833,         0.067503,         0.014164,         4.765830,        57.000000,        58.059217,         0.651764,         0.025659
   27, 27, 349087.82, 19336.47,         8.904696,         0.080340,       110.838172,        -5.041168,         0.193427,       -26.062404,        -5.233113,         0.058843,       -88.932740,        -2.237014,         0.224131,        -9.980849,         0.050943,         0.013450,         3.787539,        40.000000,        33.303240,         0.655176,         0.027516
   28, 28, 343402.57, 18620.67,         8.837015,         0.082639,       106.935308,        -4.949619,         0.194506,       -25.447079,        -5.203588,         0.060280,       -86.323034,        -1.787178,         0.228264,        -7.829427,         0.045217,         0.013826,         3.270327,        47.000000,        80.986586,         0.647142,         0.031662
   29, 29, 359036.48, 1198.74,         9.290659,         0.077763,       119.473605,        -5.981911,         0.190454,       -31.408672,        -5.362232,         0.058148,       -92.216336,        -3.224461,         0.215445,       -14.966516,         0.042072,         0.012360,         3.403937,        49.000000,        52.702201,         0.654747,         0.022895
   30, 30, 370771.99, -1522.12,         9.289626,         0.078859,       117.800380,        -5.584178,         0.196384,       -28.435039,        -5.346731,         0.059775,       -89.448140,        -4.420775,         0.218521,       -20.230461,         0.069147,         0.012518,         5.523913,        49.000000,        48.697933,         0.672346,         0.028635
   31, 31, 376842.13, -7139.16,         9.353759,         0.077575,       120.576468,        -5.673078,         0.192070,       -29.536528,        -5.332972,         0.059049,       -90.314517,        -4.677717,         0.214235,       -21.834530,         0.059114,         0.012198,         4.846099,        27.000000,        29.824825,         0.669125,         0.025759
