"Per capita personal income&nbsp;2/","FIPS","AreaName","1969  ","1970  ","1971  ","1972  ","1973  ","1974  ","1975  ","1976  ","1977  ","1978  ","1979  ","1980  ","1981  ","1982  ","1983  ","1984  ","1985  ","1986  ","1987  ","1988  ","1989  ","1990  ","1991  ","1992  ","1993  ","1994  ","1995  ","1996  ","1997  ","1998  ","1999  ","2000  ","2001  ","2002  ","2003  ","2004  ","2005  ","2006  ","2007  ","2008  " 
"400","00","United States 3/",3836 ,4084 ,4340 ,4717 ,5230 ,5708 ,6172 ,6754 ,7402 ,8243 ,9138 ,10091 ,11209 ,11901 ,12583 ,13807 ,14637 ,15338 ,16137 ,17244 ,18402 ,19354 ,19818 ,20799 ,21385 ,22297 ,23262 ,24442 ,25654 ,27258 ,28333 ,30318 ,31149 ,31470 ,32284 ,33899 ,35447 ,37728 ,39430 ,40208 
"400","01","Alabama",2734 ,2962 ,3206 ,3526 ,3943 ,4336 ,4766 ,5313 ,5794 ,6464 ,7139 ,7825 ,8659 ,9152 ,9772 ,10752 ,11504 ,12080 ,12735 ,13639 ,14776 ,15618 ,16337 ,17264 ,17766 ,18656 ,19551 ,20245 ,21118 ,22217 ,22961 ,24070 ,25097 ,25816 ,26753 ,28405 ,29889 ,31484 ,32883 ,33768 
"400","02","Alaska 3/",4769 ,5248 ,5583 ,5940 ,6805 ,8130 ,10666 ,12109 ,12388 ,12495 ,13199 ,14975 ,16528 ,18819 ,18843 ,19395 ,20104 ,19673 ,19244 ,19848 ,21525 ,22594 ,23092 ,23706 ,24478 ,25186 ,25778 ,26179 ,27197 ,27943 ,28538 ,30534 ,32274 ,33160 ,33543 ,34898 ,36812 ,38898 ,41153 ,44039 
"400","04","Arizona",3495 ,3829 ,4131 ,4473 ,4904 ,5301 ,5535 ,6061 ,6615 ,7532 ,8509 ,9484 ,10582 ,10882 ,11630 ,12803 ,13636 ,14335 ,14896 ,15583 ,16281 ,16806 ,17253 ,17762 ,18371 ,19385 ,20164 ,21159 ,22231 ,23722 ,24583 ,26261 ,26937 ,27192 ,27859 ,29567 ,31563 ,33498 ,34413 ,34335 
"400","05","Arkansas",2616 ,2840 ,3088 ,3409 ,3978 ,4368 ,4668 ,5157 ,5657 ,6469 ,7020 ,7521 ,8508 ,8947 ,9463 ,10486 ,11128 ,11625 ,12023 ,12855 ,13727 ,14402 ,15103 ,16204 ,16692 ,17496 ,18260 ,19170 ,19846 ,20798 ,21556 ,22578 ,23883 ,24299 ,25475 ,26905 ,27981 ,29573 ,31646 ,32397 
"400","06","California",4532 ,4801 ,5027 ,5451 ,5944 ,6557 ,7136 ,7835 ,8572 ,9572 ,10719 ,11928 ,13144 ,13742 ,14517 ,15913 ,16777 ,17526 ,18447 ,19515 ,20448 ,21380 ,21734 ,22439 ,22744 ,23448 ,24498 ,25788 ,27063 ,29195 ,30679 ,33394 ,33869 ,34006 ,34922 ,36830 ,38670 ,41404 ,43221 ,43641 
"400","08","Colorado",3687 ,4040 ,4399 ,4774 ,5283 ,5837 ,6322 ,6880 ,7535 ,8485 ,9502 ,10714 ,12078 ,12904 ,13538 ,14669 ,15267 ,15713 ,16205 ,17072 ,18398 ,19377 ,20123 ,21102 ,22152 ,23237 ,24575 ,25964 ,27402 ,29174 ,30919 ,33979 ,35305 ,35032 ,35160 ,36649 ,38539 ,40912 ,42444 ,42985 
"400","09","Connecticut",4821 ,5071 ,5295 ,5692 ,6226 ,6794 ,7252 ,7878 ,8684 ,9656 ,10855 ,12321 ,13780 ,14849 ,15737 ,17496 ,18635 ,19895 ,21573 ,23557 ,25397 ,26198 ,26430 ,28287 ,29051 ,29891 ,31366 ,32835 ,34877 ,37226 ,38718 ,41921 ,43614 ,43346 ,43730 ,46417 ,48485 ,52702 ,55609 ,56272 
"400","10","Delaware",4406 ,4594 ,4888 ,5297 ,5858 ,6336 ,6740 ,7345 ,7892 ,8624 ,9482 ,10756 ,11827 ,12684 ,13468 ,14748 ,15900 ,16589 ,17604 ,18819 ,20559 ,21209 ,22073 ,22500 ,22885 ,23487 ,24409 ,25808 ,26574 ,28397 ,29072 ,31007 ,32410 ,33212 ,33879 ,35753 ,37062 ,39168 ,40068 ,40519 
"400","11","District of Columbia",4483 ,4970 ,5497 ,6026 ,6470 ,7252 ,8034 ,8728 ,9639 ,10367 ,11224 ,12218 ,13381 ,14570 ,15379 ,16986 ,18051 ,18932 ,20046 ,22157 ,23843 ,26015 ,27333 ,28694 ,29883 ,30804 ,31291 ,32981 ,34807 ,36503 ,37093 ,40485 ,44870 ,45442 ,47529 ,51458 ,55268 ,60080 ,63881 ,66119 
"400","12","Florida",3658 ,3998 ,4282 ,4696 ,5217 ,5591 ,5901 ,6360 ,6972 ,7841 ,8731 ,9921 ,11101 ,11682 ,12640 ,13718 ,14643 ,15391 ,16193 ,17291 ,18734 ,19437 ,19776 ,20474 ,21197 ,21919 ,23014 ,24050 ,24919 ,26453 ,27329 ,29079 ,29834 ,30530 ,31364 ,33659 ,35769 ,38308 ,39204 ,39267 
"400","13","Georgia",3149 ,3379 ,3650 ,4023 ,4481 ,4854 ,5157 ,5687 ,6200 ,6951 ,7656 ,8408 ,9393 ,10041 ,10857 ,12148 ,13052 ,13917 ,14679 ,15721 ,16658 ,17563 ,18110 ,19139 ,19866 ,20945 ,22023 ,23340 ,24287 ,25680 ,26772 ,28531 ,29205 ,29272 ,29683 ,30639 ,32176 ,33473 ,34650 ,34893 
"400","15","Hawaii 3/",4532 ,5077 ,5319 ,5671 ,6128 ,6911 ,7396 ,7880 ,8338 ,9111 ,10098 ,11394 ,12235 ,12780 ,13883 ,14909 ,15591 ,16288 ,17118 ,18496 ,20285 ,21818 ,22763 ,24014 ,24566 ,24847 ,25160 ,25253 ,25892 ,26546 ,27467 ,29073 ,29506 ,30533 ,31520 ,33787 ,35851 ,38520 ,40907 ,42055 
"400","16","Idaho",3264 ,3539 ,3739 ,4133 ,4686 ,5353 ,5573 ,6100 ,6479 ,7253 ,7796 ,8637 ,9378 ,9622 ,10331 ,10988 ,11497 ,11774 ,12428 ,13437 ,14632 ,15603 ,16015 ,17063 ,18110 ,18865 ,19665 ,20525 ,20961 ,22234 ,23269 ,24684 ,25656 ,26029 ,26472 ,28453 ,29642 ,31668 ,32905 ,33074 
"400","17","Illinois",4333 ,4568 ,4867 ,5262 ,5892 ,6452 ,7008 ,7620 ,8359 ,9222 ,10140 ,10980 ,12150 ,12868 ,13420 ,14760 ,15524 ,16304 ,17236 ,18551 ,19672 ,20835 ,21148 ,22553 ,23068 ,24181 ,25382 ,26806 ,28130 ,29746 ,30619 ,32636 ,33183 ,33696 ,34569 ,35957 ,37168 ,39549 ,41569 ,42347 
"400","18","Indiana",3692 ,3791 ,4086 ,4439 ,5083 ,5423 ,5837 ,6504 ,7167 ,7950 ,8726 ,9353 ,10287 ,10673 ,11184 ,12402 ,13065 ,13739 ,14522 ,15424 ,16668 ,17454 ,17865 ,19099 ,19885 ,20973 ,21644 ,22655 ,23607 ,25169 ,25899 ,27461 ,28054 ,28534 ,29588 ,30645 ,31302 ,32881 ,33756 ,34605 
"400","19","Iowa",3665 ,3878 ,4025 ,4498 ,5409 ,5603 ,6231 ,6596 ,7267 ,8379 ,8994 ,9573 ,10840 ,11236 ,11529 ,12815 ,13370 ,13993 ,14786 ,15206 ,16484 ,17350 ,17700 ,18789 ,18700 ,20367 ,21006 ,22787 ,23747 ,24898 ,25539 ,27295 ,27900 ,28832 ,29444 ,31674 ,32306 ,33853 ,35699 ,37402 
"400","20","Kansas",3555 ,3824 ,4152 ,4619 ,5275 ,5710 ,6206 ,6716 ,7279 ,8020 ,9119 ,9939 ,11197 ,12056 ,12475 ,13629 ,14312 ,14957 ,15567 ,16207 ,17008 ,18034 ,18605 ,19710 ,20371 ,21235 ,21870 ,23255 ,24504 ,26032 ,26826 ,28479 ,29670 ,29759 ,30822 ,31918 ,33130 ,35756 ,37389 ,38820 
"400","21","Kentucky",2964 ,3176 ,3383 ,3705 ,4132 ,4595 ,4940 ,5457 ,6075 ,6758 ,7603 ,8113 ,8992 ,9552 ,9861 ,11035 ,11503 ,11819 ,12485 ,13553 ,14530 ,15360 ,16142 ,17150 ,17554 ,18308 ,18978 ,19982 ,21021 ,22244 ,23032 ,24786 ,25336 ,25838 ,26348 ,27518 ,28557 ,30129 ,31206 ,32076 
"400","22","Louisiana",2886 ,3089 ,3310 ,3576 ,3977 ,4493 ,4958 ,5549 ,6107 ,6912 ,7744 ,8767 ,9991 ,10561 ,10871 ,11595 ,12024 ,11998 ,12219 ,13029 ,13963 ,15171 ,15931 ,16857 ,17559 ,18641 ,19367 ,20155 ,21088 ,22119 ,22458 ,23570 ,25373 ,25948 ,26708 ,28066 ,30100 ,33750 ,35363 ,36424 
"400","23","Maine",3138 ,3413 ,3590 ,3858 ,4308 ,4747 ,5026 ,5698 ,6116 ,6700 ,7412 ,8333 ,9164 ,9901 ,10548 ,11628 ,12462 ,13406 ,14434 ,15593 ,16683 ,17211 ,17457 ,18214 ,18690 ,19552 ,20372 ,21507 ,22566 ,24171 ,25151 ,26697 ,28204 ,28898 ,29939 ,31474 ,32022 ,33735 ,35078 ,36457 
