Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_OCC_TEC, se_OCC_TEC, t_OCC_TEC, est_OWNH, se_OWNH, t_OWNH, est_POP65, se_POP65, t_POP65, est_UNEMP, se_UNEMP, t_UNEMP, y, yhat, localpdev, Ginfluence
    0, 0, 378906.83, 17310.41,         6.981148,         0.382489,        18.251914,         1.278293,         0.864533,         1.478595,        -3.489627,         0.236971,       -14.725942,        -7.767023,         1.124270,        -6.908502,         0.219992,         0.069022,         3.187270,       189.000000,       127.740980,         0.799454,         0.410547
    1, 1, 334095.21, 25283.2,         7.895318,         0.421526,        18.730305,         5.671716,         1.783639,         3.179858,        -5.555414,         0.402457,       -13.803755,         5.471330,         1.448255,         3.777876,        -0.265160,         0.066358,        -3.995882,        95.000000,        88.236162,         0.647998,         0.460995
    2, 2, 378200.19, -877.05,         7.173261,         0.301423,        23.797978,         2.271269,         0.714557,         3.178570,        -4.202776,         0.175817,       -23.904278,        -9.342388,         0.991280,        -9.424572,         0.365941,         0.061546,         5.945852,        70.000000,        51.244096,         0.810739,         0.227173
    3, 3, 357191.03, 29064.39,         7.588873,         0.378109,        20.070619,        -0.688604,         0.901905,        -0.763499,        -3.986198,         0.322474,       -12.361305,        -3.779300,         1.189256,        -3.177870,         0.022004,         0.046961,         0.468565,        48.000000,        54.106687,         0.804137,         0.226219
    4, 4, 358056.34, 10824.73,         7.752999,         0.294689,        26.309115,        -1.632266,         0.678929,        -2.404178,        -4.767460,         0.241295,       -19.757788,        -4.700026,         1.024001,        -4.589864,         0.380323,         0.050590,         7.517689,        65.000000,        45.559119,         0.822351,         0.202609
    5, 5, 366747.61, -3073.12,         7.257934,         0.265644,        27.322062,         1.772214,         0.661584,         2.678743,        -5.620995,         0.168210,       -33.416569,        -2.740331,         0.859815,        -3.187116,         0.582308,         0.053016,        10.983630,       107.000000,       205.487136,         0.854208,         0.147547
    6, 6, 351099.27, 11800.35,         8.028044,         0.268402,        29.910527,        -0.206335,         0.672227,        -0.306942,        -4.406742,         0.255136,       -17.272101,        -6.322605,         1.046918,        -6.039255,         0.135527,         0.043609,         3.107746,        65.000000,        46.315869,         0.779120,         0.165651
    7, 7, 377929.98, 4635.1,         7.019021,         0.322701,        21.750870,         1.803822,         0.746353,         2.416848,        -3.872084,         0.193664,       -19.993870,        -8.756609,         0.996122,        -8.790697,         0.328969,         0.065698,         5.007306,        76.000000,        74.908312,         0.806463,         0.120370
    8, 8, 367529.91, 20192.51,         8.130722,         0.411586,        19.754605,        -1.877605,         0.876180,        -2.142945,        -4.277861,         0.281348,       -15.204859,        -7.909090,         1.190161,        -6.645396,         0.171512,         0.062319,         2.752144,       192.000000,       198.488953,         0.823656,         0.921107
    9, 9, 389231.47, 3489.35,         6.505467,         0.335098,        19.413650,         3.789934,         0.767639,         4.937130,        -3.248436,         0.198668,       -16.351049,        -7.561067,         1.043412,        -7.246484,         0.185300,         0.066558,         2.784025,        27.000000,        30.097397,         0.729777,         0.109602
